Region	Item	Alternative	NatCondA	NatCondB	NatCondC	LearnCondA	LearnCondB	LearnCondC	1a	1b	1c	2a	2b	2c	3a	3b	3c	4a	4b	4c	5a	5b	5c	6a	6b	6c	9a	9b	9c	10a	10b	10c	11a	11b	11c	12a	12b	12c	13a	13b	13c	15a	15b	15c	16a	16b	16c	17a	17b	17c	18a	18b	18c	19a	19b	19c	20a	20b	20c	21a	21b	21c	23a	23b	23c
1	1	101	0.218772665	0.460334005	0.285224498	-0.003797977	0.289742878	0.125745192		0.38688469			0.533783321					0.218772665		0.150216357			0.420232639		0.072493671		0.034595402		-0.015711101		-0.18069274			0.196963112			0.104203046				0.4320975		-0.13342809					0.140837071		0.106575623					1.734387075			0.234274073					-0.186826404		-0.019981254
2	1	101	-0.305560936	-0.379583006	-0.312522416	-0.567705358	-0.698680889	-0.475882266		-0.354199982			-0.404966029					-0.305560936		-0.322813858			-0.302230975		-0.432530977		-0.488963946		-0.471832833		-0.890755964			-0.345145597			-0.421783396				-0.268031934		-1.038547463					-0.458855589		-0.508473159					-0.475532001			-1.286470822					-0.755296539		-0.655191137
3	1	101	0.119946102	0.14079372	-0.036750321	-0.129949365	0.477809236	0.237598501		0.19777751			0.08380993					0.119946102		-0.004953731			-0.068546912		0.35855562		-0.102144486		0.112439407		1.472530451			0.03707763			0.0431939				0.182486168		-0.079537499					-0.061831276		-0.107547339					0.660028198			0.852816353					-0.225872333		0.76301577
4	1	101	-0.271825899	-0.088662986	-0.100670668	-0.500891198	-0.645585612	0.294701185		-0.18813405			0.010808078					-0.271825899		-0.193152713			-0.008188623		-0.399633091		-0.405310265		0.224897043		-0.88606017			-0.394980212			-0.455169243				0.315677087		-1.004982464					-0.442161876		-0.300643037					-0.308702458			-1.069571646					-0.655201452		0.938873646
5	1	101	-0.735606355	-0.218299174	-0.190935768	-0.884977928	-0.79912513	0.438830108		-0.530408811			0.093810462					-0.735606355		-0.169758252			-0.212113284		-0.817844524		-0.88895498		0.100429994		-1.113319103			-0.883524017			-0.775634589				0.282870325		-0.73134214					-1.037548885		-0.216279528					-0.781966426			-0.49024511					-0.728429918		1.588299642
1	2	102	0.148622798	0.185995043	0.138519254	0.269023187	0.422036899	-0.079328584	-0.08544135		-0.333356142	0.149557237		0.533111457	0.381752506		0.215802446		0.268741385			0.103248701		0.289794731		0.221358386		0.001526669		0.297143394		-0.471134978	0.297010789		0.196950236	0.237683579		0.287752594		0.198501543									0.524097545		-0.177621095		0.022737058	0.821716071			0.117434842		-0.733634797		1.255875724			0.130183012	
2	2	102	-0.502148022	-0.437519539	-0.351430657	-0.673805498	-0.566231089	-0.505042074	-0.552952003		-0.486986256	-0.425434732		-0.136849078	-0.528057331		-0.430456636		-0.417806703			-0.457232375		-0.468580567		-0.413498466		-0.576061578		-1.125096245		-1.037740564	-0.409683912		-0.39497056	-0.503006106		-0.371744998		-0.368228803									-0.438438806		-0.693988149		-0.593681219	-0.693450002			-0.822833508		-0.21861664		-0.797722383			-0.650703877	
3	2	102	0.238028977	0.227649294	0.186935319	0.546372309	0.104759776	0.162355294	0.095016575		0.212125635	0.152889797		0.134361812	0.46618056		0.214318511		0.133240768			0.32205782		0.42591186		0.091921568		0.035026336		2.665670293		0.176230628	0.452019068		0.218377609	0.05764425		0.374679009		0.282853687									0.418440389		-0.059326246		0.074133252	0.410767205			-0.128080266		0.038789694		-0.14902334			-0.063498192	
4	2	102	-0.083812322	-0.074923829	0.243720875	-0.330411511	-0.219855997	0.035981436	-0.134149456		0.078216553	-0.113257771		0.552635985	-0.004029739		0.100310087		-0.239447609			0.089599951		-0.307310105		-0.010370009		-0.263356279		-0.349751536		0.170512836	-0.021920477		0.036858687	-0.348403943		0.376880616		-0.051759873									-0.363939972		-0.610997994		-0.226363805	0.038649889			-0.71314641		-0.131629713		-0.245664045			-0.174559813	
5	2	102	0.017625959	0.023346159	0.021091908	-0.173995562	-0.028858373	0.063679225	0.104422141		-0.102205944	-0.175327397		0.176486111	0.123783133		-0.011004442		-0.168137473			0.21482979		-0.21610308		-0.134643255		-0.053064658		0.021652943		-0.524051237	0.084210306		-0.02612448	-0.258401165		0.147703675		0.164956297									-0.034652818		-0.47815885		-0.176757474	-0.064459824			-0.306709264		1.095948123		-0.26067326			0.039142572	
1	3	103	-0.093626408	-0.152311033	-0.188120512	0.028974147	-0.312673109	0.137746337	-0.174250553		-0.392183731	-0.041573098		-0.041595271	-0.065055573		-0.130582535		-0.054152018			-0.250470047		0.184875281		0.050427827						0.349743317	0.429851		-0.056048327	0.319896563		0.2698478		-0.019409798		-0.416654304		-0.049839499			0.023671387						0.3381878	0.197331218			-0.541454873		0.175980388					-0.605936419	
2	3	103	-0.285681671	-0.233241595	-0.124493331	-0.282151452	-0.374171185	-0.100925767	-0.324285651		-0.173965884	-0.213746241		-0.056592177	-0.319013122		-0.142921934		-0.169054917			-0.297428273		-0.242242869		-0.152039944						0.250803125	-0.182048188		-0.069251863	0.624963496		-0.013496768		-0.234356148		-0.574481243		-0.526471205			0.383441441						0.107956291	-0.223253753			-1.095846157		-0.788347211					-0.513986223	
3	3	103	0.233061498	0.094763139	0.015136109	0.228093838	0.003398502	0.056685097	0.331158638		0.045562506	0.183775025		0.049864846	0.184250831		-0.050019026		0.005098919			0.184427359		0.072843668		0.088197484						0.120755528	0.203696445		0.053527153	0.176659593		0.076551549		0.165928016		0.587143975		-0.229458951			0.251418008						0.407647072	0.126108848			0.202110499		-0.315157069					-0.159131011	
4	3	103	-0.11398816	-0.109592014	0.037184264	-0.152233677	-0.2011599	0.473730126	-0.157856751		0.046379566	-0.144283236		0.114934045	-0.039824492		-0.049760819		-0.074275218			-0.14490881		-0.121920858		0.156895518						-0.397231526	-0.083949006		0.136948681	-0.194841135		0.143284407		-0.000626909		-0.783274221		1.287074638			1.052321589						1.358673407	0.094764148			0.175819008		0.051874297					-0.401692891	
5	3	103	-0.002478014	0.031036665	-0.250857756	-0.033382123	-0.186760182	-0.298096354	-0.040591908		-0.316667461	-0.024503182		-0.197079783	0.057661047		-0.238826025		0.018609768			0.043463562		0.183120345		-0.19116991						-0.849782659	-0.052569116		-0.305550851	0.036574045		-0.014704875		0.04934994		0.058209737		-0.976179528			-0.558618733						-0.227231101	-0.137807087			-0.287820665		0.738466826					-0.422870305	
1	4	104	0.504473133	0.11195089	-0.109555135	0.188433491	0.351582141	-0.046878768		-0.044315242			0.203578394			0.176589516		0.5157902			0.493156066		-0.109555135		0.344083706		0.734488942		-0.074824817		1.332261627			0.655435671			0.396726805		0.281356798		0.298037785		-0.311544628			0.456033886		-0.045283565		-0.145629253		-0.411922084								-0.376735038		-0.326661782	0.348340316		0.014684227
2	4	104	-0.100494915	-0.203149794	-0.259814645	-0.173683459	0.070480822	-0.334113951		-0.191519785			-0.161991061			-0.255938536		-0.023132049			-0.177857781		-0.259814645		-0.170895307		-0.096930672		-0.214485379		0.146297553			-0.083956956			-0.194865195		-0.134135324		-0.117424786		-0.734862814			1.841061588		-0.202925223		-0.185872646		-0.309413115								-0.049431939		-0.901254386	-0.384994134		-0.251532558
3	4	104	0.029963965	0.049274363	0.148228983	0.100616372	0.061598666	-0.13959581		0.082661772			-0.120783958			0.185945275		0.044839989			0.015087942		0.148228983		0.00320494		0.747616237		0.062321919		0.032912578			-0.044580852			0.112136055		0.049014942		-0.051128189		-0.08713311			0.758035822		-0.208114196		-0.107502044		-0.34338477								0.019152355		-0.547139266	-0.10458748		-0.054531468
