Participant	FlankerIncongruent	FlankerCongruent	FlankerResidual	Res_JR1_AmbIncon	Res_JR2_AmbIncon	Res_JR3_AmbIncon	Res_JR4_AmbIncon	Res_JR5_AmbIncon	Res_JR1_AmbCon	Res_JR2_AmbCon	Res_JR3_AmbCon	Res_JR4_AmbCon	Res_JR5_AmbCon	Res_JR1_UnamIncon	Res_JR2_UnamIncon	Res_JR3_UnamIncon	Res_JR4_UnamIncon	Res_JR5_UnamIncon	Group	Level	EITLevel	EITLevel2	EITScore	R1_CombinedResiduals	R2_CombinedResiduals	R3_CombinedResiduals	R4_CombinedResiduals	R5_CombinedResiduals	ComprehensionCheckTotal
1	0.793317594	0.798905158	-0.005587564	-0.220561064	-0.361165545	0.027436378	0.047024282	0.171036723	0.089757503	-0.278434933	0.277680683	0.039394712	0.079480261	-0.072151402	-0.215570707	0.176742177	0.105627718	0.098095369	1	4	5	3	120	-0.0883893	-0.293273203	0.163747408	0.074035377	0.143879718	0.9
2	0.572272112	0.582654524	-0.010382411	0.113019549	-0.269703883	0.025861285	0.009348994	0.001103264	0.217707343	-0.208572529	0.037146925	0.111871243	0.066291434	0.11815429	-0.173294107	0.012169216	0.052626183	-0.080693684	2	4	5	3	120	0.148888899	-0.216283492	0.027882469	0.046953636	-0.007441512	0.966666667
3	0.508080232	0.462951493	0.045128739	0.026599122	-0.343569565	0.122794442	-0.006893635	0.068646589	0.093554439	-0.258360627	0.063655142	0.138624032	0.070306864	0.072037388	-0.22610116	0.061832838	0.082485722	0.116175311	1	4	5	3	120	0.070335912	-0.27952745	0.084530438	0.060748974	0.063912127	0.966666667
4	0.6381814	0.646991253	-0.008809853	0.18514027	-0.15652315	0.074811455	0.058558286	-0.028967058	0.055342353	-0.252044439	0.004323819	-0.086916653	0.02583294	0.148730417	-0.189590367	0.01653234	-0.01466667	0.064731272	3	4	5	3	120	0.152552375	-0.189261262	0.029797628	0.003250965	0.003660294	0.9
5	0.597966218	0.529693317	0.068272901	0.108403667	-0.231689088	0.00937448	0.067570248	0.170558285	-0.096974765	-0.332047961	0.082991867	-0.037995026	0.156522972	0.031807598	-0.226440452	0.056718711	0.142533352	0.235433011	4	4	5	3	120	0.000394728	-0.269510959	0.048490568	0.048055802	0.172569861	0.933333333
6	0.530673332	0.488336063	0.042337269	0.147425331	-0.285713191	0.145698235	-0.029015452	0.033767055	0.13995378	-0.106277278	0.091929751	0.040234202	-0.030869585	-0.054664645	-0.1738944	0.083851333	-0.056612838	0.012633762	1	2	2	1	69	0.089883427	-0.197478111	0.121858352	-0.024708539	0.010444871	0.932
9	0.556942331	0.461627635	0.095314695	0.132176404	-0.23165086	0.38237877	0.204146798	0.008913013	-0.097707383	-0.240427992	0.2058178	-0.060309226	0.132440616	-0.090433371	-0.284878303	0.09015249	0.143947612	0.167226411	4	2	3	2	84	-0.040475432	-0.257152649	0.165301823	0.048498093	0.083828164	0.862666667
10	0.673297923	0.667494881	0.005803042	0.117278677	-0.472740739	0.744248012	-0.077879791	0.253622848	-0.174454197	-0.24898381	0.39797955	-0.05979915	0.496669038	-0.319568889	-0.684307697	0.111150255	-0.015315713	-0.290059498	1	2	2	1	64	-0.161871599	-0.500401288	0.443483853	-0.106957234	0.325746269	0.667333333
11	0.570317076	0.521898119	0.048418957	0.117623923	-0.269718956	0.088581558	-0.057231146	0.111919323	0.190686029	-0.196688253	0.064082178	-0.00352985	0.018536772	0.015197683	-0.195406536	0.058860973	0.023585777	-0.032040279	1	3	3	2	90	0.084804502	-0.205427577	0.080021915	-0.002710616	0.043311775	0.703333333
12	0.54664876	0.530239491	0.016409269	0.116536615	-0.237553965	0.167622627	-0.12004985	0.050504461	0.068440232	-0.218214809	0.196471066	0.101687297	0.003395394	-0.078001963	-0.249502561	0.002698	0.030386332	0.052900109	2	2	3	2	80	0.073230422	-0.237495696	0.097806125	0.033657115	0.032802034	0.864666667
13	0.479009085	0.411748684	0.067260401	0.084430344	-0.180973045	0.082260985	-0.064340132	-0.034689652	-0.039278992	-0.258643853	0.112030576	-0.047302845	0.039013515	0.149668628	-0.173249072	0.058132712	0.11213192	0.080296448	3	2	3	2	98	0.091153672	-0.198286465	0.067267674	0.019082712	0.020782407	0.766666667
15	0.68723305	0.718692859	-0.031459809	-0.315214516	-0.568486637	0.164560831	-0.464160321	0.376938321	-0.164307075	-0.531659038	0.080473875	0.327602385	-0.125874026	-0.26327373	-0.311083883	1.13124635	0.055109739	0.067848803	1	2	3	2	84	-0.194621807	-0.52137955	0.416697624	0.161937752	0.137365981	0.768
16	0.657047651	0.61850854	0.038539112	-0.313060717	-0.367890082	0.001329622	-0.007201921	0.493082005	-0.040322659	0.291254504	1.279807548	0.02997241	0.4068816	-0.348747306	-0.278109579	0.410535569	0.028131119	0.028384397	2	2	2	1	43	-0.211242566	-0.300731479	0.346163081	-0.067463901	0.233274864	0.633333333
17	0.583058558	0.56729606	0.015762498	0.146440199	-0.17616024	0.023127818	-0.056688319	-0.238391247	0.150605714	-0.285499258	0.108539458	-0.011157581	0.031744017	0.196625793	0.069609886	0.091116818	0.19144639	0.158634879	3	2	3	2	88	0.141563529	-0.202724248	0.072447505	0.012792904	-0.02407969	0.635333333
18	0.68706383	0.575322595	0.111741236	0.161272676	-0.371101249	0.515914954	0.001529988	0.230996039	0.152906934	-0.296313806	0.036900943	-0.229700272	0.123499107	-0.121929088	-0.264007441	0.22175604	0.046934399	-0.083525189	2	3	2	1	74	-0.022231957	-0.294767656	0.269928598	-0.022281444	0.069352459	0.633333333
19	0.607832143	0.722111388	-0.114279244	0.169327483	-0.401102744	0.047638556	-0.095797844	-0.249562568	0.426756788	-0.270387444	0.094260701	-0.157571562	-0.350936113	0.245866622	-0.255582646	0.299331246	0.004593032	0.197652111	1	1	2	2	78	0.32375875	-0.261914709	0.154568781	-0.021796168	-0.194616655	0.7
20	0.865603875	0.686795547	0.178808327	0.032908123	-0.537864458	0.514173237	-0.50875591	-0.257729384	-0.313896098	-0.99241588	0.791607238	-0.212670526	0.458968514	-0.150271046	-0.413914851	0.533657012	-0.26377565	0.135526137	2	1	1	1	19	-0.27595989	-0.551498868	0.768403265	-0.170446682	0.229502175	0.633333333
21	0.709936917	0.637036145	0.072900771	-0.299972274	-0.529117502	0.300131997	0.005730916	-0.019938943	-0.6440086	0.039576986	0.405653619	0.709120545	0.176326542	-0.134833235	-0.569717495	-0.05057959	0.685250275	0.30156368	3	1	1	1	36	-0.35748275	-0.411542402	0.304874243	0.337909959	0.12624095	0.6
23	0.862067218	0.69041126	0.171655957	-0.042880728	-0.378171781	0.315000121	0.18852109	0.54159724	-0.253792737	-0.597947335	0.035363907	-0.214188474	0.191181878	-0.226082234	-0.562069609	0.265973487	0.234020135	0.837753649	4	2	2	1	42	-0.17678603	-0.525766433	0.197418896	0.046276773	0.458856794	0.933333333
																													
																													
