Participant	List	Ambiguity	PreIncongruent	IncongruentAmbiguous	Completed	Trial	Region	LengthofRegion	RT	Subject1	Group1	Level1	EITLevel1	EITScore1	Block1	PresentationOrder	FlankerCorrect	FlankerRT	ComprehensionCheckCorrect	TrimmingHigh	Trimming	NoZeroRTs	Sdev	mean	Max	Outliers	OutliersRemoved	OutliersRemoved	ComprehensionQuestionCalculator	SumCorrectby5	TotalAnswered	PercentCorrect	Length(x-axis)	RT(pre-lineoffit)	ResSlope	ResIntercept	ResExpected	Residual	JegerskiMcCormickStep1	JegerskiMcCormickStep2	JegerskiMcCormickStep3		
1	1	1	0	0	1	1	1	12	1.437655926	1	1	4	5	120	0	9	1	0.536404133	1	 	 	1.437655926	0.477062541	0.911577983	2.104234335	 	1.437655926	1.437655926	1	135	150	0.9	12	1.437655926	0.065635776	0.263141919	1.050771236	0.38688469	1	1	1	17	
1	1	1	0	0	1	1	2	8	0.434028149	1	1	4	5	120	0	9	1	0.536404133	1	 	 	0.434028149	0.477062541	0.911577983	2.104234335	 	0.434028149	0.434028149	1	135	150	0.9	8	0.434028149	0.065635776	0.263141919	0.78822813	-0.354199982	1	1	1	17	
1	1	1	0	0	1	1	3	7	0.920369864	1	1	4	5	120	0	9	1	0.536404133	1	 	 	0.920369864	0.477062541	0.911577983	2.104234335	 	0.920369864	0.920369864	1	135	150	0.9	7	0.920369864	0.065635776	0.263141919	0.722592354	0.19777751	1	1	1	17	
1	1	1	0	0	1	1	4	8	0.60009408	1	1	4	5	120	0	9	1	0.536404133	1	 	 	0.60009408	0.477062541	0.911577983	2.104234335	 	0.60009408	0.60009408	1	135	150	0.9	8	0.60009408	0.065635776	0.263141919	0.78822813	-0.18813405	1	1	1	17	
1	1	1	0	0	1	1	5	14	0.651633978	1	1	4	5	120	0	9	1	0.536404133	1	 	 	0.651633978	0.477062541	0.911577983	2.104234335	 	0.651633978	0.651633978	1	135	150	0.9	14	0.651633978	0.065635776	0.263141919	1.182042789	-0.530408811	1	1	1	17	
1	1	1	1	1	1	2	1	12	0.965329885	1	1	4	5	120	0	49	1	0.769304991	1	 	 	0.965329885	0.477062541	0.911577983	2.104234335	 	0.965329885	0.965329885	1	135	150	0.9	12	0.965329885	0.065635776	0.263141919	1.050771236	-0.08544135	2	2	1	17	
1	1	1	1	1	1	2	2	9	0.300911903	1	1	4	5	120	0	49	1	0.769304991	1	 	 	0.300911903	0.477062541	0.911577983	2.104234335	 	0.300911903	0.300911903	1	135	150	0.9	9	0.300911903	0.065635776	0.263141919	0.853863907	-0.552952003	2	2	1	17	
1	1	1	1	1	1	2	3	6	0.751973152	1	1	4	5	120	0	49	1	0.769304991	1	 	 	0.751973152	0.477062541	0.911577983	2.104234335	 	0.751973152	0.751973152	1	135	150	0.9	6	0.751973152	0.065635776	0.263141919	0.656956578	0.095016575	2	2	1	17	
1	1	1	1	1	1	2	4	11	0.850986004	1	1	4	5	120	0	49	1	0.769304991	1	 	 	0.850986004	0.477062541	0.911577983	2.104234335	 	0.850986004	0.850986004	1	135	150	0.9	11	0.850986004	0.065635776	0.263141919	0.98513546	-0.134149456	2	2	1	17	
1	1	1	1	1	1	2	5	14	1.28646493	1	1	4	5	120	0	49	1	0.769304991	1	 	 	1.28646493	0.477062541	0.911577983	2.104234335	 	1.28646493	1.28646493	1	135	150	0.9	14	1.28646493	0.065635776	0.263141919	1.182042789	0.104422141	2	2	1	17	
