practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_13,IRI_FL_13,space_13,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,IRI_20,IRI_FL_20,space_20,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,session,participant,level,frameRate,expName,date,group,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,47.5015499592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,34.925011158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,17.3148128986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_right,j,0,Yellow practice,Yellow,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.2999410629,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_left,f,0,Green practice,Green,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_left,f,1,Red practice,Red,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,1.42115497589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_left,f,0,Blue,Blue,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.584646940231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_right,j,1,Orange practice,Orange,No,Yes,j,practice,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.601021051407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_right,j,0,White practice,wite,yes,No,f,practice,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.535135030746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_left,f,0,Green practice,Green,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,1,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.537958145142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_right,j,0,Yellow practice,Yellow,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,1,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.637336969376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_right,j,1,Orange practice,Orange,No,Yes,j,practice,,,,,,,,,,,0,0,0,0,1,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.516825914383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_left,f,0,Blue,Blue,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,1,3,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.501852989197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_right,j,0,White practice,wite,yes,No,f,practice,,,,,,,,,,,0,0,0,0,1,4,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.552738189697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_left,f,1,Red practice,Red,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,1,5,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.653753042221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_left,f,0,Blue,Blue,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,2,0,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.536766052246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
