MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,session,participant,frameRate,expName,date,group,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,165.974591017,,,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el cuaderno?,librero,sucio,cuaderno,jardinero,notebook,j,None,el cuaderno,cuaderno,1,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,space,9.12489509583,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,space,0.989431142807,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
las monedas?,saltarlacuerda,aviso,monedas,escalera,coins,j,None,las monedas,monedas,1,0,0,0,0,0,0,0,0,0,2,2,10,,,,,,,,,,,space,1.19057202339,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el librero?,aviso,librero,diamante,fregadero,shelf,f,None,el librero,librero,1,0,0,0,0,0,0,0,0,0,3,3,7,,,,,,,,,,,space,1.3568110466,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,0,0,0,0,0,0,0,0,0,4,4,17,,,,,,,,,,,space,0.872704982758,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
algo sucio?,fregadero,biblia,saltarlacuerda,sucio,dirty,semicolon,None,sucio,sucio,1,0,0,0,0,0,0,0,0,0,5,5,16,,,,,,,,,,,space,0.0996990203857,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,0,0,0,0,0,0,0,0,0,6,6,0,,,,,,,,,,,space,0.135097980499,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,0,0,0,0,0,0,0,0,0,7,7,6,,,,,,,,,,,space,0.0880708694458,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el escenario?,monedas,diamante,sucio,escenario,stage,semicolon,None,el escenario,escenario,1,0,0,0,0,0,0,0,0,0,8,8,20,,,,,,,,,,,space,0.00307202339172,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,space,0.0999491214752,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el diamante?,diamante,copa,escenario,abrigo,diamond,a,None,el diamante,diamante,1,0,0,0,0,0,0,0,0,0,10,10,3,,,,,,,,,,,space,0.106389045715,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
