399.5259 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1148b0710>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
399.5260 	EXP 	window1: recordFrameIntervals = False
399.6934 	EXP 	window1: recordFrameIntervals = True
399.8773 	EXP 	window1: recordFrameIntervals = False
400.3606 	EXP 	Created VocabTrainingInstructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='Black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Courier', fontFiles=[], height=0.1, italic=False, name='VocabTrainingInstructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
400.3764 	EXP 	Created vocabPicAssoc = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='vocabPicAssoc', opacity=1.0, ori=0, pos=array([0. , 0.5]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
400.3863 	EXP 	Created TranslationTraining = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='TranslationTraining', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
400.3888 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units=u'norm', win=Window(...))
400.4177 	EXP 	Created pressSpace = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.05, italic=False, name='pressSpace', opacity=1.0, ori=0, pos=array([ 0.  , -0.75]), rgb=array([0., 0., 0.]), text="Press 'Space' to continue.", units=u'norm', win=Window(...), wrapWidth=1)
400.5543 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
400.6307 	EXP 	Created instructions2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='instructions2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
400.6504 	EXP 	Created Question = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='Question', opacity=1.0, ori=0, pos=array([0.  , 0.75]), rgb=array([0., 0., 0.]), text='\xbfCu\xe1l im\xe1gen representa...', units=u'norm', win=Window(...), wrapWidth=1)
400.6523 	EXP 	Created imageA = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageA', opacity=1.0, ori=0.0, pos=array([-0.75,  0.  ]), size=array([0.45, 0.45]), texRes=128, units=u'norm', win=Window(...))
400.6542 	EXP 	Created imageF = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageF', opacity=1.0, ori=0.0, pos=array([-0.25,  0.  ]), size=array([0.45, 0.45]), texRes=128, units=u'norm', win=Window(...))
400.6561 	EXP 	Created imageJ = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageJ', opacity=1.0, ori=0.0, pos=array([0.25, 0.  ]), size=array([0.45, 0.45]), texRes=128, units=u'norm', win=Window(...))
400.6580 	EXP 	Created imageSemicolon = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageSemicolon', opacity=1.0, ori=0.0, pos=array([0.75, 0.  ]), size=array([0.45, 0.45]), texRes=128, units=u'norm', win=Window(...))
400.6675 	EXP 	Created criticalText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='Black', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='criticalText', opacity=1.0, ori=0, pos=array([0. , 0.5]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
400.7606 	EXP 	Created restPhase = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='restPhase', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
400.8361 	EXP 	Created goodbye = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.1, italic=False, name='goodbye', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
400.8615 	EXP 	VocabTrainingInstructions: autoDraw = True
492.1826 	DATA 	Keypress: right
566.8354 	DATA 	Keypress: space
566.8375 	EXP 	Created sequence: sequential, trialTypes=1, nReps=2, seed=None
566.8379 	EXP 	New trial (rep=0, index=0): None
566.8491 	EXP 	Created sequence: random, trialTypes=1, nReps=999, seed=None
566.8548 	EXP 	New trial (rep=0, index=0): None
566.8887 	EXP 	Imported VocabTrainingA.csv as conditions, 21 conditions, 11 params
566.8891 	EXP 	Created sequence: fullRandom, trialTypes=21, nReps=1, seed=None
566.8898 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'MatchingSection', u'el cuaderno?'), (u'ColumnA', u'librero'), (u'ColumnF', u'sucio'), (u'ColumnJ', u'cuaderno'), (u'ColumnSemicolon', u'jardinero'), (u'Translation', u'notebook'), (u'CorrectAnswer', u'j'), (u'Training', None), (u'TrainingFull', u'el cuaderno'), (u'imagename', u'cuaderno'), (u'Counterbalance', 1)])
566.9065 	WARNING 	Requested image u'cuaderno' not found but similar filename u'cuaderno.jpg' exists. This will be used instead but changing the filename is advised.
567.0801 	EXP 	VocabTrainingInstructions: autoDraw = False
567.0801 	EXP 	vocabPicAssoc: text = u'el cuaderno'
567.0801 	EXP 	TranslationTraining: text = u'notebook'
567.0801 	EXP 	image: image = u'cuaderno'
567.0801 	EXP 	vocabPicAssoc: autoDraw = True
567.0801 	EXP 	TranslationTraining: autoDraw = True
567.0801 	EXP 	image: autoDraw = True
567.9137 	EXP 	pressSpace: autoDraw = True
576.2044 	DATA 	Keypress: space
576.2062 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'MatchingSection', u'la biblia?'), (u'ColumnA', u'biblia'), (u'ColumnF', u'vaciar'), (u'ColumnJ', u'escalera'), (u'ColumnSemicolon', u'maleta'), (u'Translation', u'bible'), (u'CorrectAnswer', u'a'), (u'Training', None), (u'TrainingFull', u'la biblia'), (u'imagename', u'biblia'), (u'Counterbalance', 1)])
576.2205 	WARNING 	Requested image u'biblia' not found but similar filename u'biblia.jpg' exists. This will be used instead but changing the filename is advised.
576.2523 	EXP 	vocabPicAssoc: autoDraw = False
576.2523 	EXP 	TranslationTraining: autoDraw = False
576.2523 	EXP 	image: autoDraw = False
576.2523 	EXP 	pressSpace: autoDraw = False
576.2523 	EXP 	vocabPicAssoc: text = u'la biblia'
576.2523 	EXP 	TranslationTraining: text = u'bible'
576.2523 	EXP 	image: image = u'biblia'
576.2523 	EXP 	vocabPicAssoc: autoDraw = True
576.2523 	EXP 	TranslationTraining: autoDraw = True
576.2523 	EXP 	image: autoDraw = True
577.2387 	EXP 	pressSpace: autoDraw = True
577.2412 	DATA 	Keypress: space
577.2424 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'MatchingSection', u'las monedas?'), (u'ColumnA', u'saltarlacuerda'), (u'ColumnF', u'aviso'), (u'ColumnJ', u'monedas'), (u'ColumnSemicolon', u'escalera'), (u'Translation', u'coins'), (u'CorrectAnswer', u'j'), (u'Training', None), (u'TrainingFull', u'las monedas'), (u'imagename', u'monedas'), (u'Counterbalance', 1)])
577.2577 	WARNING 	Requested image u'monedas' not found but similar filename u'monedas.jpg' exists. This will be used instead but changing the filename is advised.
577.3065 	EXP 	vocabPicAssoc: autoDraw = False
577.3065 	EXP 	TranslationTraining: autoDraw = False
577.3065 	EXP 	image: autoDraw = False
577.3065 	EXP 	pressSpace: autoDraw = False
577.3065 	EXP 	vocabPicAssoc: text = u'las monedas'
577.3065 	EXP 	TranslationTraining: text = u'coins'
577.3065 	EXP 	image: image = u'monedas'
577.3065 	EXP 	vocabPicAssoc: autoDraw = True
577.3065 	EXP 	TranslationTraining: autoDraw = True
577.3065 	EXP 	image: autoDraw = True
578.2759 	EXP 	pressSpace: autoDraw = True
578.4963 	DATA 	Keypress: space
578.4983 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'MatchingSection', u'el librero?'), (u'ColumnA', u'aviso'), (u'ColumnF', u'librero'), (u'ColumnJ', u'diamante'), (u'ColumnSemicolon', u'fregadero'), (u'Translation', u'shelf'), (u'CorrectAnswer', u'f'), (u'Training', None), (u'TrainingFull', u'el librero'), (u'imagename', u'librero'), (u'Counterbalance', 1)])
578.5146 	WARNING 	Requested image u'librero' not found but similar filename u'librero.jpg' exists. This will be used instead but changing the filename is advised.
578.5768 	EXP 	vocabPicAssoc: autoDraw = False
578.5768 	EXP 	TranslationTraining: autoDraw = False
578.5768 	EXP 	image: autoDraw = False
578.5768 	EXP 	pressSpace: autoDraw = False
578.5768 	EXP 	vocabPicAssoc: text = u'el librero'
