MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,key_resp_5.keys,key_resp_5.rt,participant,session,group,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.80168415303342,,,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el mecánico?,colocar,mecánico,cocinero,adivinar,mechanic,f,None,el mecánico,mecánico,1,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,space,44.50044499797514,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
rellenar?,terminar,rellenar,buzón,brillar,to fill,f,None,rellenar,rellenar,1,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,space,5.089223139977548,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
resonar?,brillar,colocar,resonar,pastel,"to resound, to resonate",j,None,resonar,resonar,1,0,0,0,0,0,0,0,0,0,2,2,14,,,,,,,,,,,space,5.548157717974391,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
brillar?,banda,brillar,pastel,enfriar,shine,f,None,brillar,brillar,1,0,0,0,0,0,0,0,0,0,3,3,9,,,,,,,,,,,space,6.087518536951393,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
aparcar?,montar,aparcar,lavaplatos,rendirse,park,f,None,aparcar,aparcar,1,0,0,0,0,0,0,0,0,0,4,4,8,,,,,,,,,,,space,4.453637569968123,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el pastel?,pastel,sonar,banda,aparcar,cake,a,None,el pastel,pastel,1,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,space,2.224519834970124,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la pantalla?,cartera,pantalla,horno,fallar,screen,f,None,la pantalla,pantalla,1,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,space,1.691822107997723,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
terminar?,adivinar,banda,pantalla,terminar,to finish,semicolon,None,terminar,terminar,1,0,0,0,0,0,0,0,0,0,7,7,16,,,,,,,,,,,space,1.8903007819899358,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
rendirse?,mecánico,terminar,rendirse,cocinero,"to give up, to surrender",j,None,rendirse,rendirse,1,0,0,0,0,0,0,0,0,0,8,8,12,,,,,,,,,,,space,6.427346050040796,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la cartera?,rendirse,buzón,mecánico,cartera,"wallet, handbag",semicolon,None,la cartera,cartera,1,0,0,0,0,0,0,0,0,0,9,9,17,,,,,,,,,,,space,2.9422426990349777,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el horno?,horno,rendirse,cartera,rellenar,oven,a,None,el horno,horno,1,0,0,0,0,0,0,0,0,0,10,10,1,,,,,,,,,,,space,5.583101272990461,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
adivinar?,pantalla,fallar,adivinar,horno,to guess,j,None,adivinar,adivinar,1,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,space,2.2247619859990664,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
colocar?,enfriar,horno,aparcar,colocar,"to place, to hang",semicolon,None,colocar,colocar,1,0,0,0,0,0,0,0,0,0,12,12,18,,,,,,,,,,,space,9.12995716003934,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la banda?,resonar,lavaplatos,sonar,banda,"band, group",semicolon,None,banda,banda,1,0,0,0,0,0,0,0,0,0,13,13,20,,,,,,,,,,,space,3.1216572929988615,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
sonar?,fallar,montar,rellenar,sonar,"to ring, to be heard",semicolon,None,sonar,sonar,1,0,0,0,0,0,0,0,0,0,14,14,15,,,,,,,,,,,space,5.216697272961028,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
fallar?,rellenar,resonar,fallar,buzón,to break down,j,None,fallar,fallar,1,0,0,0,0,0,0,0,0,0,15,15,10,,,,,,,,,,,space,4.969338127004448,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el cocinero?,cocinero,enfriar,colocar,pantalla,cook,a,None,el cocinero,cocinero,1,0,0,0,0,0,0,0,0,0,16,16,2,,,,,,,,,,,space,4.712649810011499,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el buzón?,buzón,adivinar,terminar,resonar,mailbox,a,None,el buzón,buzón,1,0,0,0,0,0,0,0,0,0,17,17,0,,,,,,,,,,,space,8.45628958195448,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el lavaplatos?,lavaplatos,pastel,montar,mecánico,dishwasher,a,None,el lavaplatos,lavaplatos,1,0,0,0,0,0,0,0,0,0,18,18,3,,,,,,,,,,,space,2.512262955016922,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
enfriar?,aparcar,cartera,enfriar,lavaplatos,"to chill, to cool down",j,None,enfriar,enfriar,1,0,0,0,0,0,0,0,0,0,19,19,13,,,,,,,,,,,space,3.195589670969639,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
montar?,sonar,cocinero,brillar,montar,to assemble,semicolon,None,montar,montar,1,0,0,0,0,0,0,0,0,0,20,20,19,,,,,,,,,,,space,7.141198855009861,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,j,1,5.816470804042183,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la cartera?,rendirse,buzón,mecánico,cartera,"wallet, handbag",semicolon,None,la cartera,cartera,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,17,,,,,,,,space,3.2297340650111437,semicolon,1,3.927468807029072,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
sonar?,fallar,montar,rellenar,sonar,"to ring, to be heard",semicolon,None,sonar,sonar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,15,,,,,,,,,,semicolon,1,3.5423857280402444,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
